ordem,imagem,audio,inicio_global,fim_global,inicio_no_audio,duracao_segundos
1,imagem01.png,audionovo01.mp3,"00:00,000","00:07,000","00:00,000","7,000"
2,imagem02.png,audionovo01.mp3,"00:07,000","00:14,000","00:07,000","7,000"
3,imagem03.png,audionovo01.mp3,"00:14,000","00:24,000","00:14,000","10,000"
4,imagem04.png,audionovo01.mp3,"00:24,000","00:30,000","00:24,000","6,000"
5,imagem05.png,audionovo01.mp3,"00:30,000","00:40,000","00:30,000","10,000"
6,imagem06.png,audionovo01.mp3,"00:40,000","00:52,000","00:40,000","12,000"
7,imagem07.png,audionovo01.mp3,"00:52,000","00:58,000","00:52,000","6,000"
8,imagem08.png,audionovo01.mp3,"00:58,000","01:06,000","00:58,000","8,000"
9,imagem09.png,audionovo01.mp3,"01:06,000","01:18,000","01:06,000","12,000"
10,imagem10.png,audionovo01.mp3,"01:18,000","01:28,000","01:18,000","10,000"
11,imagem11.png,audionovo01.mp3,"01:28,000","01:38,000","01:28,000","10,000"
12,imagem12.png,audionovo01.mp3,"01:38,000","01:48,000","01:38,000","10,000"
13,imagem13.png,audionovo01.mp3,"01:48,000","01:57,000","01:48,000","9,000"
14,imagem14.png,audionovo01.mp3,"01:57,000","02:05,000","01:57,000","8,000"
15,imagem15.png,audionovo01.mp3,"02:05,000","02:15,000","02:05,000","10,000"
16,imagem16.png,audionovo01.mp3,"02:15,000","02:24,000","02:15,000","9,000"
17,imagem17.png,audionovo01.mp3,"02:24,000","02:35,000","02:24,000","11,000"
18,imagem18.png,audionovo01.mp3,"02:35,000","02:43,000","02:35,000","8,000"
19,imagem19.png,audionovo01.mp3,"02:43,000","02:51,000","02:43,000","8,000"
20,imagem20.png,audionovo01.mp3,"02:51,000","03:03,000","02:51,000","12,000"
21,imagem21.png,audionovo01.mp3,"03:03,000","03:13,000","03:03,000","10,000"
22,imagem22.png,audionovo01.mp3,"03:13,000","03:23,000","03:13,000","10,000"
23,imagem23.png,audionovo01.mp3,"03:23,000","03:34,000","03:23,000","11,000"
24,imagem24.png,audionovo01.mp3,"03:34,000","03:46,000","03:34,000","12,000"
25,imagem25.png,audionovo01.mp3,"03:46,000","03:54,000","03:46,000","8,000"
26,imagem26.png,audionovo01.mp3,"03:54,000","04:02,000","03:54,000","8,000"
27,imagem27.png,audionovo01.mp3,"04:02,000","04:13,000","04:02,000","11,000"
28,imagem28.png,audionovo01.mp3,"04:13,000","04:22,000","04:13,000","9,000"
29,imagem29.png,audionovo01.mp3,"04:22,000","04:32,000","04:22,000","10,000"
30,imagem30.png,audionovo01.mp3,"04:32,000","04:42,000","04:32,000","10,000"
31,imagem31.png,audionovo01.mp3,"04:42,000","04:53,000","04:42,000","11,000"
32,imagem32.png,audionovo01.mp3,"04:53,000","05:05,000","04:53,000","12,000"
33,imagem33.png,audionovo01.mp3,"05:05,000","05:13,000","05:05,000","8,000"
34,imagem34.png,audionovo01.mp3,"05:13,000","05:22,000","05:13,000","9,000"
35,imagem35.png,audionovo01.mp3,"05:22,000","05:30,600","05:22,000","8,600"
36,imagem36.png,audionovo02.mp3,"05:30,600","05:38,600","00:00,000","8,000"
37,imagem37.png,audionovo02.mp3,"05:38,600","05:48,600","00:08,000","10,000"
38,imagem38.png,audionovo02.mp3,"05:48,600","05:54,600","00:18,000","6,000"
39,imagem39.png,audionovo02.mp3,"05:54,600","06:06,600","00:24,000","12,000"
40,imagem40.png,audionovo02.mp3,"06:06,600","06:14,600","00:36,000","8,000"
41,imagem41.png,audionovo02.mp3,"06:14,600","06:22,600","00:44,000","8,000"
42,imagem42.png,audionovo02.mp3,"06:22,600","06:30,600","00:52,000","8,000"
43,imagem43.png,audionovo02.mp3,"06:30,600","06:38,600","01:00,000","8,000"
44,"imagem Final.png",audionovo02.mp3,"06:38,600","06:51,192","01:08,000","12,592"
